Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00449385478446069,0.000251557417551487,-0.00724817218271537,0,0,0,0.151775680234578,0.00014840892242205,-9.54141979396944E-08,-8.91374801748038E-07,0.000106136318384078,5.46039241471824E-08,0.000220845291806762,0,0,0,0,0,0,package://sf/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://sf/meshes/base_link.STL,,_44045000_ASM-1/_000-1;________KEEP_611_20001-2;00-1;GDW_____2_611_2__0001-4;GDW_____2_611_2__0001-3;______-2_611_2__0001-1;V4_611_2__0001-1;GDW_____2_611_2__0001-1;GDW_____2_611_2__0001-2;12V0-1;0003-1;________KEEP_611_20001-4;0004-3;________KEEP_611_20001-3;0004-4;0004-2;________KEEP_611_20001-1;0004-1,C_base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LT_link,0.00127006239473542,0.00406204734312672,-0.0190085533885298,0,0,0,0.0100525232309549,5.18741872365037E-06,4.65840896455662E-09,-3.03304443663567E-07,5.76211609183521E-06,-6.97206805031596E-08,6.68238853598699E-07,0,0,0,0,0,0,package://sf/meshes/LT_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://sf/meshes/LT_link.STL,,SZLMINLEG1_2GDW_610001-3,C_ft,A_ft,LT_joint,revolute,0.037193,0.04014,0.00555,0,-1.3914,0,base_link,0,1,0,30,1000,-0.3363,1.3479,,,,,,,,
LC_link,0.00136440105892297,0.00457515199625725,-0.0682051223553251,0,0,0,0.0178270527011929,1.92606315320937E-05,-8.82655659688194E-09,-3.55356649539172E-07,1.99807316204063E-05,4.41228359669666E-07,1.55379596081475E-06,0,0,0,0,0,0,package://sf/meshes/LC_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://sf/meshes/LC_link.STL,,PRODUCT_19840_STP-1;_______611_2__0001_ASM-1/2208T____329______0001-1,C_fc,A_fc,LC_joint,revolute,0.00400624584257155,0.00825,-0.0599599974003271,3.14159265358979,0.970968251102385,3.14159265358979,LT_link,0,-1,0,30,1000,-1,1.25,,,,,,,,
LW_link,6.89671611486808E-10,0.00834683871540343,-1.95641636224764E-09,0,0,0,0.0559681585451639,2.16656945403379E-05,-1.90417919240379E-13,2.15014422234423E-13,3.80817756917612E-05,4.42557891768016E-13,2.1665694819758E-05,0,0,0,0,0,0,package://sf/meshes/LW_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://sf/meshes/LW_link.STL,,_______611_2__0001_ASM-1/____________611_2_0001-1;_______611_2__0001_ASM-1/WHEEL-2208T_______0001-1;____-0_611_2__0001_ASM-2/TUI_LOCK_____-0_610001-1,C_fw,A_fw,LW_joint,revolute,0.00200000000000076,0.024,-0.0999799979995941,0,-0.779219558190924,0,LC_link,0,1,0,5,1000,-1000000,1000000,,,,,,,,
RT_link,0.00127006239751673,-0.00406204734319667,-0.0190085533883609,0,0,0,0.0100525232306551,5.18741872359907E-06,-4.65840887309157E-09,-3.03304443813853E-07,5.76211609178972E-06,6.97206805213475E-08,6.68238853570075E-07,0,0,0,0,0,0,package://sf/meshes/RT_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://sf/meshes/RT_link.STL,,SZLMINLEG1_2GDW_610001-4,C_rt,A_rt,RT_joint,revolute,0.037193,-0.03976,0.00555,0,-1.3914,0,base_link,0,-1,0,30,1000,-1.3479,0.3363,,,,,,,,
RC_link,-0.00136440379476186,-0.0045751522183208,-0.0682051197582346,0,0,0,0.0178270503501313,1.92606589518594E-05,-8.82654494641659E-09,3.5461742888462E-07,1.99807288180346E-05,-4.41228336064638E-07,1.55376574345551E-06,0,0,0,0,0,0,package://sf/meshes/RC_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://sf/meshes/RC_link.STL,,PRODUCT_19840_STP-2;_______611_2__0001_ASM-2/2208T____329______0001-1,C_rc,A_rc,RC_joint,revolute,0.0040062458425682,-0.00825000000001,-0.0599599974003474,-3.14159265358951,1.01097091824902,-3.14159265358956,RT_link,0,1,0,30,1000,-1.25,1,,,,,,,,
RW__link,2.11581791670357E-09,-0.00834683871540336,2.80899345450614E-10,0,0,0,0.0559681585451639,2.16656949279362E-05,4.87906156271758E-13,2.71711151014061E-14,3.80817756917612E-05,2.68539571343295E-14,2.16656944321597E-05,0,0,0,0,0,0,package://sf/meshes/RW__link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://sf/meshes/RW__link.STL,,_______611_2__0001_ASM-2/____________611_2_0001-1;____-0_611_2__0001_ASM-1/TUI_LOCK_____-0_610001-1;_______611_2__0001_ASM-2/WHEEL-2208T_______0001-1,C_rw,A_rw,RW_joint,revolute,-0.00199999999999527,-0.0240000000000082,-0.0999799979995988,0,-0.739216891044192,0,RC_link,0,-1,0,5,1000,-1000000,1000000,,,,,,,,
